"source","target","weight","evidence_type"
"OIP5","UBE2T",0.000476,"Experiments"
"OIP5","CENPU",0.000499,"Databases"
"OIP5","CENPW",0.000499,"Databases"
"OIP5","CENPH",0.000499,"Databases"
"OIP5","CENPI",0.000499,"Databases"
"OIP5","CENPO",0.000499,"Databases"
"OIP5","CENPK",0.000499,"Databases"
"OIP5","CENPL",0.000499,"Databases"
"OIP5","HJURP",0.000716,"Experiments + Databases"
"OIP5","CENPA",0.000745,"Experiments + Databases"
"AGO2","IGF2BP1",0.00042,"Experiments"
"AGO2","TBKBP1",0.000472,"Experiments"
"AGO2","H2BC9",0.000499,"Databases"
"AGO2","H2AZ1",0.000499,"Databases"
"AGO2","H2BC15",0.000499,"Databases"
"AGO2","H2BC11",0.000499,"Databases"
"AGO2","H2AX",0.000499,"Databases"
"AGO2","H2BC17",0.000499,"Databases"
"AGO2","EZH2",0.000517,"Experiments"
"AGO2","TSEN54",0.00054,"Databases"
"AGO2","RAD51",0.000549,"Experiments"
"AGO2","EHMT2",0.000555,"Text-mining"
"AGO2","MEX3A",0.000751,"Text-mining"
"AGO2","TRIM71",0.000873,"Experiments"
"AGO2","RPP21",9e-04,"Databases"
"DKK4","KREMEN2",0.000725,"Experiments + Databases"
"DKK4","DKK1",9e-04,"Databases"
"PYCR3","PYCR1",0.000968,"Experiments + Databases"
"COMP","OTX1",0.000452,"Experiments"
"COMP","MATN3",0.000624,"Experiments + Databases"
"COMP","THBS4",0.000788,"Text-mining"
"COMP","ACAN",0.000884,"Databases"
"STX1A","UNC13A",0.000459,"Text-mining"
"STX1A","STXBP6",0.000496,"Experiments"
"STX1A","SYN3",0.000499,"Databases"
"STX1A","GAD1",0.000499,"Databases"
"STX1A","PPFIA4",0.000499,"Databases"
"STX1A","LGI3",0.000499,"Databases"
"STX1A","SYP",0.00063,"Experiments + Databases"
"STX1A","CPLX2",0.000793,"Experiments + Databases"
"STX1A","VAMP1",0.00084,"Experiments + Databases"
"PLOD3","C1QTNF6",0.00042,"Experiments"
"PLOD3","COL24A1",0.000499,"Databases"
"PLOD3","COL9A1",0.000499,"Databases"
"PLOD3","COL15A1",0.000499,"Databases"
"PLOD3","COL2A1",0.000499,"Databases"
"PLOD3","COL8A1",0.000499,"Databases"
"PLOD3","COL22A1",0.000499,"Databases"
"PLOD3","COL7A1",0.000499,"Databases"
"PLOD3","EHMT2",0.000512,"Experiments"
"PLOD3","COL4A2",0.000725,"Experiments + Databases"
"PLOD3","COL4A1",0.000726,"Experiments + Databases"
"KAT2A","MSH2",0.000438,"Text-mining"
"KAT2A","E2F1",0.000457,"Experiments"
"KAT2A","WDHD1",0.000457,"Experiments"
"KAT2A","TCF3",0.000457,"Experiments"
"KAT2A","H4C14",0.000459,"Experiments"
"KAT2A","PYGO2",0.000487,"Experiments"
"KAT2A","H2BC17",0.000499,"Databases"
"KAT2A","H2BC11",0.000499,"Databases"
"KAT2A","H2AC13",0.000499,"Databases"
"KAT2A","H2BC15",0.000499,"Databases"
"KAT2A","H2BC18",0.000499,"Databases"
"KAT2A","NOTCH3",0.000499,"Databases"
"KAT2A","H2BC9",0.000499,"Databases"
"KAT2A","TACC3",0.00074,"Experiments"
"KAT2A","YEATS2",0.000848,"Experiments + Databases"
"IBSP","SPP1",0.000765,"Text-mining"
"ASIC1","ASIC3",0.00056,"Databases"
"RAD51AP1","H2AZ1",0.000407,"Text-mining"
"RAD51AP1","CHEK1",0.000429,"Text-mining"
"RAD51AP1","RMI2",0.000499,"Databases"
"RAD51AP1","DNA2",0.000499,"Databases"
"RAD51AP1","XRCC2",0.000499,"Databases"
"RAD51AP1","XRCC3",0.000499,"Databases"
"RAD51AP1","BRCA2",0.000499,"Databases"
"RAD51AP1","BARD1",0.000499,"Databases"
"RAD51AP1","BLM",0.000499,"Databases"
"RAD51AP1","BRIP1",0.000499,"Databases"
"RAD51AP1","EXO1",0.000555,"Databases"
"RAD51AP1","RAD51",0.000896,"Experiments + Databases"
"FZD10","WNT3A",0.000692,"Experiments + Databases"
"FANCE","CHEK1",0.000461,"Experiments"
"FANCE","RPL30",0.000495,"Experiments"
"FANCE","EME2",0.000499,"Databases"
"FANCE","POLN",0.000499,"Databases"
"FANCE","EME1",0.000499,"Databases"
"FANCE","FANCI",0.000949,"Experiments + Databases"
"FANCE","UBE2T",0.00097,"Experiments + Databases"
"FANCE","FANCD2",0.000972,"Experiments + Databases"
"FANCE","FAAP24",0.000983,"Databases"
"FANCE","FANCA",0.000999,"Experiments + Databases"
"FANCE","FANCB",0.000999,"Experiments + Databases"
"FANCE","FANCG",0.000999,"Experiments + Databases"
"CAP2","ROBO1",0.000499,"Databases"
"GMNN","MCM3",0.000408,"Text-mining"
"GMNN","CDC20",0.000457,"Experiments"
"GMNN","CKS1B",0.00053,"Experiments"
"GMNN","CKS2",0.000531,"Experiments"
"GMNN","CCNA2",0.000556,"Experiments"
"GMNN","HOXC9",0.000557,"Experiments"
"GMNN","CDK1",0.000574,"Experiments"
"GMNN","MCM6",0.00062,"Experiments"
"GMNN","CDKN2A",0.000633,"Experiments"
"GMNN","CDT1",0.000999,"Experiments + Databases"
"MDFI","CBFA2T2",0.00042,"Experiments"
"MDFI","APLN",0.00042,"Experiments"
"MDFI","DKK1",0.00042,"Experiments"
"MDFI","OTX1",0.00042,"Experiments"
"MDFI","CALML6",0.000428,"Text-mining"
"MDFI","BEX2",0.000591,"Experiments"
"LAMA4","ITGA2",0.000499,"Databases"
"LAMA4","LAMA3",0.000547,"Databases"
"LAMA4","ITGA6",0.00065,"Databases"
"LAMA4","MCAM",0.000883,"Experiments"
"LAMA4","LAMC1",0.000946,"Experiments + Databases"
"LOX","EGF",0.000405,"Experiments"
"CDH9","CDH24",0.00054,"Databases"
"CDH9","APC2",0.00054,"Databases"
"CDH9","CTNNA2",0.000547,"Databases"
"CDH9","CDH8",0.000596,"Databases"
"CDH9","CDH13",0.000598,"Databases"
"PFKFB4","PFKFB2",0.000796,"Experiments + Databases"
"TNNC1","NEB",0.000499,"Databases"
"TNNC1","TPM2",0.000504,"Databases"
"TNNC1","TNNT1",0.000925,"Experiments + Databases"
"MSH2","DNMT1",4e-04,"Text-mining"
"MSH2","MSH5",0.000402,"Text-mining"
"MSH2","RECQL4",0.000406,"Experiments"
"MSH2","BRIP1",0.000407,"Text-mining"
"MSH2","CDC20",0.000408,"Text-mining"
"MSH2","UHRF1",0.000457,"Experiments"
"MSH2","MCM8",0.000457,"Experiments"
"MSH2","FANCI",0.00054,"Databases"
"MSH2","BLM",0.000545,"Experiments"
"MSH2","H2AZ1",0.00059,"Experiments"
"MSH2","RAD51",0.00067,"Experiments"
"MSH2","BRCA2",0.00069,"Databases"
"MSH2","PCNA",0.000808,"Experiments + Databases"
"MSH2","FANCD2",0.000886,"Experiments + Databases"
"MSH2","POLD1",9e-04,"Databases"
"MSH2","EXO1",0.000993,"Experiments + Databases"
"REG1A","REG1B",0.000671,"Experiments"
"BCL9","ISL2",0.000405,"Experiments"
"BCL9","TERT",0.000456,"Text-mining"
"BCL9","LEF1",0.00068,"Databases"
"BCL9","H3C6",8e-04,"Experiments"
"BCL9","H3C10",8e-04,"Experiments"
"BCL9","H3C2",8e-04,"Experiments"
"BCL9","PYGO2",0.000985,"Experiments + Databases"
"PRRX1","FOXM1",0.000431,"Text-mining"
"NCAPH","WDR76",0.000457,"Experiments"
"NCAPH","SMC1B",0.000525,"Experiments"
"NCAPH","NCAPG2",0.000645,"Databases"
"NCAPH","NCAPD2",0.000999,"Experiments + Databases"
