gene_A	gene_B	combined_score	neighborhood	fusion	cooccurence	coexpression	experiments	database	textmining	evidence_type
AGO2	RAD51	0.000549	0	0	0	0	0.457	0	0.205	Experiments
AGO2	EHMT2	0.000555	0	0	0	0	0	0	0.555	Text-mining
AGO2	MEX3A	0.000751	0	0	0	0	0	0	0.751	Text-mining
AGO2	TRIM71	0.000873	0	0	0	0	0.457	0	0.776	Experiments
AGO2	RPP21	9e-04	0	0	0	0	0	0.9	0	Databases
DKK4	KREMEN2	0.000725	0	0	0	0	0.067	0.5	0.457	Experiments + Databases
DKK4	DKK1	9e-04	0	0	0	0	0	0.9	0	Databases
PYCR3	PYCR1	0.000968	0	0	0	0	0.702	0.9	0	Experiments + Databases
COMP	OTX1	0.000452	0	0	0	0	0.452	0	0	Experiments
COMP	MATN3	0.000624	0	0	0	0	0.236	0.5	0.097	Experiments + Databases
COMP	THBS4	0.000788	0	0	0	0	0	0	0.788	Text-mining
COMP	ACAN	0.000884	0	0	0	0	0	0.5	0.779	Databases
STX1A	UNC13A	0.000459	0	0	0	0	0	0	0.459	Text-mining
STX1A	STXBP6	0.000496	0	0	0	0	0.466	0	0.096	Experiments
STX1A	SYN3	0.000499	0	0	0	0	0	0.5	0	Databases
STX1A	GAD1	0.000499	0	0	0	0	0	0.5	0	Databases
STX1A	PPFIA4	0.000499	0	0	0	0	0	0.5	0	Databases
STX1A	LGI3	0.000499	0	0	0	0	0	0.5	0	Databases
STX1A	SYP	0.00063	0	0	0	0	0.292	0.5	0	Experiments + Databases
STX1A	CPLX2	0.000793	0	0	0	0	0.292	0.72	0	Experiments + Databases
STX1A	VAMP1	0.00084	0	0	0	0	0.459	0.54	0.409	Experiments + Databases
PLOD3	C1QTNF6	0.00042	0	0	0	0	0.421	0	0	Experiments
PLOD3	COL24A1	0.000499	0	0	0	0	0	0.5	0	Databases
PLOD3	COL9A1	0.000499	0	0	0	0	0	0.5	0	Databases
PLOD3	COL15A1	0.000499	0	0	0	0	0	0.5	0	Databases
PLOD3	COL2A1	0.000499	0	0	0	0	0	0.5	0	Databases
PLOD3	COL8A1	0.000499	0	0	0	0	0	0.5	0	Databases
PLOD3	COL22A1	0.000499	0	0	0	0	0	0.5	0	Databases
PLOD3	COL7A1	0.000499	0	0	0	0	0	0.5	0	Databases
PLOD3	EHMT2	0.000512	0	0	0	0	0.512	0	0	Experiments
