"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significance","ENSEMBL","hgnc_symbol","gene_biotype"
"ENSG00000041515.16",126.474722828141,-1.13301586846295,0.206126742622487,-5.49669515972523,3.86974792138496e-08,1.28089952312626e-07,"Downregulated","ENSG00000041515","MYO16","protein_coding"
"ENSG00000231381.2",6.11644567568409,1.2820037625781,0.233245364532529,5.49637402289856,3.87679811630523e-08,1.28285953098876e-07,"Upregulated","ENSG00000231381","RNF2P1","processed_pseudogene"
"ENSG00000197748.13",36.2979692247752,1.07271532529003,0.195220103743463,5.49490193233213,3.90927592939635e-08,1.29304193648398e-07,"Upregulated","ENSG00000197748","CFAP43","protein_coding"
"ENSG00000088053.11",4.28361703568131,-1.36714109862659,0.248814640944052,-5.49461676949308,3.91559773226311e-08,1.2949445141036e-07,"Downregulated","ENSG00000088053","GP6","protein_coding"
"ENSG00000146049.2",11.532960457999,1.92679800675125,0.350677634980659,5.49449926242806,3.91820564111307e-08,1.29550265095152e-07,"Upregulated","ENSG00000146049","KAAG1","lncRNA"
"ENSG00000184635.16",67.6493885007171,1.17490026073108,0.213867734009625,5.49358352802397,3.93858690570671e-08,1.30197906292486e-07,"Upregulated","ENSG00000184635","ZNF93","protein_coding"
"ENSG00000249642.2",5.33422549878834,4.56348734467379,0.830949749795736,5.49189327729575,3.97647671384999e-08,1.31412206609204e-07,"Upregulated","ENSG00000249642","","lncRNA"
"ENSG00000142235.12",106.571572910462,1.70025760771082,0.309602363197931,5.49174621972711,3.97978991950673e-08,1.3150258012849e-07,"Upregulated","ENSG00000142235","LMTK3","protein_coding"
"ENSG00000164270.18",16.4738299648467,1.89121809180077,0.344460549888983,5.49037645213739,4.01077963700153e-08,1.32507298181751e-07,"Upregulated","ENSG00000164270","HTR4","protein_coding"
"ENSG00000143632.14",11.7601237112027,1.32651517607031,0.241651035230532,5.48938337799724,4.03339320076547e-08,1.33215674881428e-07,"Upregulated","ENSG00000143632","ACTA1","protein_coding"
"ENSG00000214711.10",4.88543137802822,2.01566387322224,0.367279650647333,5.48809025947837,4.06302453070447e-08,1.34155356744498e-07,"Upregulated","ENSG00000214711","CAPN14","protein_coding"
"ENSG00000272195.1",6.57655853750726,1.15774396674425,0.210998028556416,5.48698949779378,4.08841429930888e-08,1.34974084274932e-07,"Upregulated","ENSG00000272195","EFCAB2-AS1","lncRNA"
"ENSG00000237413.5",32.7090866956998,-1.12980228546493,0.205959284651628,-5.48556132041312,4.12158549847563e-08,1.35990184903979e-07,"Downregulated","ENSG00000237413","","lncRNA"
"ENSG00000100288.20",9.95344650679273,1.03415273774754,0.188579760867538,5.48390099229124,4.160476778035e-08,1.37193728659126e-07,"Upregulated","ENSG00000100288","CHKB","protein_coding"
"ENSG00000172482.5",65664.6181235924,-1.20017545283091,0.218882217029742,-5.48320219484906,4.17695148975253e-08,1.37677069840596e-07,"Downregulated","ENSG00000172482","AGXT","protein_coding"
"ENSG00000255008.3",6.67631861927884,1.20189734293471,0.219204544141426,5.48299465069152,4.18185668124289e-08,1.37818765209005e-07,"Upregulated","ENSG00000255008","LINC02739","lncRNA"
