"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","Ontology","Direction","GeneRatio","p.adjust","Count"
"Negative Regulation Of Epithelial Cell Migration (GO:0010633)","8/33",0.000384266762594727,0.00843927636837786,0,0,5.40017905102954,42.4679452708332,"BMP10;DUSP10;APOH;TACSTD2;GDF2;MCC;THBS1;DCN","BP","Down",0.242424242424242,0.00843927636837786,8
"Glucose Metabolic Process (GO:0006006)","11/59",0.000393544340338084,0.00858867208159216,0,0,3.87299895272292,30.3655388116845,"HK3;DCXR;SORD;PCK1;ENO3;SLC39A14;FBP1;PPARGC1A;G6PC1;PGM1;PCK2","BP","Down",0.186440677966102,0.00858867208159216,11
"Intracellular Iron Ion Homeostasis (GO:0006879)","10/50",0.000398576417081372,0.00859043582156746,0,0,4.22309417040359,33.0567397180843,"ALAS2;SCARA5;TFR2;MYC;GDF2;HMOX1;SLC39A14;FXN;CP;HAMP","BP","Down",0.2,0.00859043582156746,10
"Steroid Biosynthetic Process (GO:0006694)","10/50",0.000398576417081372,0.00859043582156746,0,0,4.22309417040359,33.0567397180843,"CYP39A1;SCP2;ACOX2;SRD5A2;SRD5A1;FAXDC2;AKR1D1;SLC27A2;CYP8B1;SLC27A5","BP","Down",0.2,0.00859043582156746,10
"Negative Regulation Of Cell Population Proliferation (GO:0008285)","38/379",0.000413520869829537,0.0088575149278302,0,0,1.90006663663072,14.8030440426786,"PLG;GATA3;THBS1;DUSP10;ACVR1C;ADAMTS1;MYC;HMOX1;SLC16A2;PPARGC1A;NKX3-1;IL10;KLF10;KLF11;CCL23;MAP2K1;PTGIR;CD300A;IGFBP3;P3H2;NRG1;INHBA;PODN;MCC;CBFA2T3;MYO16;BMP5;TGFBR3;TMIGD3;AZGP1;SFRP1;IL6;SFRP5;IL1B;ANG;ATF5;TRIB1;BMPR1B","BP","Down",0.100263852242744,0.0088575149278302,38
"Phagocytosis (GO:0006909)","12/69",0.000424977800159897,0.00904707341444688,0,0,3.55946469948456,27.6338103147132,"SRPX;MARCO;MEGF10;AXL;CEACAM4;TIMD4;CD302;CD14;FCGR2B;TLR4;LDLR;MYD88","BP","Down",0.173913043478261,0.00904707341444688,12
"Adenylate Cyclase-Activating G Protein-Coupled Receptor Signaling Pathway (GO:0007189)","16/110",0.000427810809254884,0.00905185065923443,0,0,2.88256623755348,22.3595748114768,"PTGIR;GPR65;PTGER2;GCGR;ADRB1;ADM;ADRB2;PTH1R;ADRA1B;ADRA2B;ADGRE1;ADGRG7;ADGRB3;TBXA2R;ADGRG6;PF4","BP","Down",0.145454545454545,0.00905185065923443,16
"Regulation Of Vasoconstriction (GO:0019229)","7/26",0.000447122894187176,0.00934484523600182,0,0,6.21372752094906,47.9244737704856,"FGB;FGA;TBXA2R;FGG;AGTR1;ADM;AVPR1A","BP","Down",0.269230769230769,0.00934484523600182,7
"Regulation Of Neuroinflammatory Response (GO:0150077)","6/19",0.000449737508476169,0.00934484523600182,0,0,7.77974840173232,59.9573264287365,"IL33;CD200R1;IL6;IL1B;IGF1;PTGS2","BP","Down",0.315789473684211,0.00934484523600182,6
"Regulation Of Vascular Endothelial Growth Factor Signaling Pathway (GO:1900746)","6/19",0.000449737508476169,0.00934484523600182,0,0,7.77974840173232,59.9573264287365,"CCBE1;TNXB;SORD;SPRY2;NRG1;DCN","BP","Down",0.315789473684211,0.00934484523600182,6
"Regulation Of Synapse Assembly (GO:0051963)","10/51",0.000471126862500621,0.00973101317188784,0,0,4.11987312698239,31.5598066947638,"PTPRD;CLSTN2;IL1RAPL2;NRXN1;SLITRK3;SLITRK6;WNT7A;IL1RAP;PDLIM5;EPHB1","BP","Down",0.196078431372549,0.00973101317188784,10
"Negative Regulation Of Inflammatory Response (GO:0050728)","16/111",0.00047426723127645,0.00973791297354605,0,0,2.85207156755731,21.8290131444764,"IL10;APCS;IL33;PTGIS;APOA1;FPR2;GATA3;IGF1;MEFV;KLF4;CD200R1;NLRP12;FNDC4;SAA1;NLRP3;TEK","BP","Down",0.144144144144144,0.00973791297354605,16
"Negative Regulation Of Epithelial Cell Proliferation (GO:0050680)","12/70",0.000487065533175266,0.00974004633178325,0,0,3.49790872757691,26.6789412073858,"TGFBR3;SFRP1;DUSP10;APOH;ATOH8;KLF9;SORD;GDF2;GATA3;MCC;THBS1;NKX3-1","BP","Down",0.171428571428571,0.00974004633178325,12
"Negative Regulation Of Extrinsic Apoptotic Signaling Pathway (GO:2001237)","12/70",0.000487065533175266,0.00974004633178325,0,0,3.49790872757691,26.6789412073858,"FGB;FGA;EYA2;IL1B;SERPINE1;FGG;HMOX1;IGF1;THBS1;MCL1;BMP5;PF4","BP","Down",0.171428571428571,0.00974004633178325,12
"Neutrophil Chemotaxis (GO:0030593)","12/70",0.000487065533175266,0.00974004633178325,0,0,3.49790872757691,26.6789412073858,"CCL23;CXCR1;CCL4;CXCR2;CCL3;SAA1;CCL2;S100A12;PPBP;CXCL2;S100A8;PF4","BP","Down",0.171428571428571,0.00974004633178325,12
